Container,Timestamp,Value
mn.device-74,2026-07-02 09:28:07,22138880
mn.device-74,2026-07-02 09:28:22,22159360
mn.device-74,2026-07-02 09:28:37,22159360
mn.device-74,2026-07-02 09:28:52,22159360
mn.device-74,2026-07-02 09:29:07,22159360
mn.device-74,2026-07-02 09:29:22,22159360
mn.device-74,2026-07-02 09:29:37,22159360
mn.device-74,2026-07-02 09:29:52,22163456
mn.device-74,2026-07-02 09:30:07,22163456
mn.device-74,2026-07-02 09:30:22,22163456
mn.device-74,2026-07-02 09:30:37,22163456
mn.device-74,2026-07-02 09:30:52,22163456
mn.device-74,2026-07-02 09:31:07,22163456
mn.device-74,2026-07-02 09:31:22,22163456
mn.device-74,2026-07-02 09:31:37,22171648
mn.device-74,2026-07-02 09:31:52,22171648
mn.device-74,2026-07-02 09:32:07,22171648
mn.device-74,2026-07-02 09:32:22,22163456
mn.device-74,2026-07-02 09:32:37,22163456
mn.device-74,2026-07-02 09:32:52,22151168
mn.device-74,2026-07-02 09:33:07,22151168
mn.device-74,2026-07-02 09:33:22,22155264
mn.device-74,2026-07-02 09:33:37,22155264
mn.device-74,2026-07-02 09:33:52,22147072
mn.device-74,2026-07-02 09:34:07,22147072
mn.device-65,2026-07-02 09:24:22,1601536
mn.device-65,2026-07-02 09:24:37,1601536
mn.device-65,2026-07-02 09:24:52,1601536
mn.device-65,2026-07-02 09:25:07,1601536
mn.device-65,2026-07-02 09:25:22,1601536
mn.device-65,2026-07-02 09:25:37,1601536
mn.device-65,2026-07-02 09:25:52,1601536
mn.device-65,2026-07-02 09:26:07,1601536
mn.device-65,2026-07-02 09:26:22,21819392
mn.device-65,2026-07-02 09:26:37,22233088
mn.device-65,2026-07-02 09:26:52,22233088
mn.device-65,2026-07-02 09:27:07,22167552
mn.device-65,2026-07-02 09:27:22,22171648
mn.device-65,2026-07-02 09:27:37,22175744
mn.device-65,2026-07-02 09:27:52,22179840
mn.device-65,2026-07-02 09:28:07,22200320
mn.device-65,2026-07-02 09:28:22,22200320
mn.device-65,2026-07-02 09:28:37,22200320
mn.device-65,2026-07-02 09:28:52,22200320
mn.device-65,2026-07-02 09:29:07,22200320
mn.device-65,2026-07-02 09:29:22,22200320
mn.device-65,2026-07-02 09:29:37,22200320
mn.device-65,2026-07-02 09:29:52,22208512
mn.device-65,2026-07-02 09:30:07,22208512
mn.device-65,2026-07-02 09:30:22,22208512
mn.device-65,2026-07-02 09:30:37,22208512
mn.device-65,2026-07-02 09:30:52,22208512
mn.device-65,2026-07-02 09:31:07,22208512
mn.device-65,2026-07-02 09:31:22,22212608
mn.device-65,2026-07-02 09:31:37,22212608
mn.device-65,2026-07-02 09:31:52,22212608
mn.device-65,2026-07-02 09:32:07,22212608
mn.device-65,2026-07-02 09:32:22,22204416
mn.device-65,2026-07-02 09:32:37,22724608
mn.device-65,2026-07-02 09:32:52,22196224
mn.device-65,2026-07-02 09:33:07,22196224
mn.device-65,2026-07-02 09:33:22,22192128
mn.device-65,2026-07-02 09:33:37,22188032
mn.device-65,2026-07-02 09:33:52,22183936
mn.device-65,2026-07-02 09:34:07,22183936
mn.device-6,2026-07-02 09:24:22,1605632
mn.device-6,2026-07-02 09:24:37,1605632
mn.device-6,2026-07-02 09:24:52,1605632
mn.device-6,2026-07-02 09:25:07,1605632
mn.device-6,2026-07-02 09:25:22,1605632
mn.device-6,2026-07-02 09:25:37,20713472
mn.device-6,2026-07-02 09:25:52,22200320
mn.device-6,2026-07-02 09:26:07,22200320
mn.device-6,2026-07-02 09:26:22,22204416
mn.device-6,2026-07-02 09:26:37,22204416
mn.device-6,2026-07-02 09:26:52,22204416
